tsn,taxon,class,subclass,infraclass,order,suborder,superfamily,family,infraorder,subfamily,genus,species,superorder,tribe,subgenus,subtribe
107642,Berytidae,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Lygaeoidea,Berytidae,Pentatomomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
108529,Boisea trivittata,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Coreoidea,Rhopalidae,Pentatomomorpha,Serinethinae,Boisea,Boisea trivittata,Paraneoptera,NA,NA,NA
108550,Cydnidae,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Pentatomoidea,Cydnidae,Pentatomomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
108566,Cyrtomenus,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Pentatomoidea,Cydnidae,Pentatomomorpha,Cydninae,Cyrtomenus,NA,Paraneoptera,NA,NA,NA
108628,Pentatomidae,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatomomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
108764,Banasa calva,Insecta,Pterygota,Neoptera,Hemiptera,Heteroptera,Pentatomoidea,Pentatomidae,Pentatomomorpha,Pentatominae,Banasa,Banasa calva,Paraneoptera,Pentatomini,NA,NA
109167,Auchenorrhyncha,Insecta,Pterygota,Neoptera,Hemiptera,Auchenorrhyncha,NA,NA,NA,NA,NA,NA,Paraneoptera,NA,NA,NA
109170,Membracidae,Insecta,Pterygota,Neoptera,Hemiptera,Auchenorrhyncha,Membracoidea,Membracidae,Cicadomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
109171,Cicadellidae,Insecta,Pterygota,Neoptera,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Cicadomorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
109173,Fulgoroidea,Insecta,Pterygota,Neoptera,Hemiptera,Auchenorrhyncha,Fulgoroidea,NA,Fulgoromorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
109179,Fulgoridae,Insecta,Pterygota,Neoptera,Hemiptera,Auchenorrhyncha,Fulgoroidea,Fulgoridae,Fulgoromorpha,NA,NA,NA,Paraneoptera,NA,NA,NA
109185,Sternorrhyncha,Insecta,Pterygota,Neoptera,Hemiptera,Sternorrhyncha,NA,NA,NA,NA,NA,NA,Paraneoptera,NA,NA,NA
109191,Aphididae,Insecta,Pterygota,Neoptera,Hemiptera,Sternorrhyncha,Aphidoidea,Aphididae,NA,NA,NA,NA,Paraneoptera,NA,NA,NA
109216,Coleoptera,Insecta,Pterygota,Neoptera,Coleoptera,NA,NA,NA,NA,NA,NA,NA,Holometabola,NA,NA,NA
109234,Carabidae,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,NA,Carabidae,NA,NA,NA,NA,Holometabola,NA,NA,NA
109589,Pasimachus,Insecta,Pterygota,Neoptera,Coleoptera,Adephaga,NA,Carabidae,NA,Scaritinae,Pasimachus,NA,Holometabola,Pasimachini,NA,NA
